book_id,book_name,book_picture,price,price_old,author,isbn,press,rest,kind_id,kind_name,description,sales
12,白鹿原,bookimages/12.jpg,28,28,陈忠实,978-7-020-02690-6,人民文学出版社,100,5,文学,这是一部渭河平原五十年变迁的雄奇史诗，一轴中国农村班斓多彩、触目惊心的长幅画卷。主人公六娶六丧，神秘的序曲预示着不祥。一个家族两代子孙，为争夺白鹿原的统治代代争斗不已，上演了一幕幕惊心动魄的活剧：巧取风水地，恶施美人计，孝子为匪，亲翁杀媳，兄弟相煎，情人反目……大革命、日寇入侵、三年内战，白鹿原翻云覆雨，王旗变幻，家仇国恨交错缠结，冤冤相报代代不已……古老的土地在新生的阵痛中颤栗。厚重深邃的思想内容，复杂多变的人物性格，跌宕曲折的故事情节，绚丽多彩的风土人情，形成作品鲜明的艺术特色和令人震撼的真实感。,0
13,简爱（英文全本）,bookimages/13.jpg,18,18,[英]夏洛蒂·勃朗特,978-7-506-26157-9,世界图书出版公司,100,5,文学,《简爱》是英国女作家夏洛蒂·勃朗特的代表作品。女主人公简爱是一个追赶求平等与自主的知识女性形象，小说以其感人的对于一位“灰姑娘式”人物奋斗史的刻划取胜，《简爱》也是女性文学的代表作品。,0
14,雷雨,bookimages/14.jpg,9.2,9.2,曹禺,978-7-020-01856-7,人民文学出版社,100,5,文学,《雷雨》所展示的是一幕人生大悲剧，是命运对人残忍的作弄。专制、伪善的家长，热情、单纯的青年，被情爱烧疯了心的魅惑的女人，痛悔着罪孽却又不自知地犯下更大罪孽的公子哥，还有家庭的秘密，身世的秘密，所有这一切在一个雷雨夜爆发。有罪的，无辜的人一起走向毁灭。曹禺以极端的雷雨般狂飙恣肆的方式，发泄被抑压的愤懑，毁谤中国的家庭和社会。,0
15,平凡的世界,bookimages/15.jpg,79.8,79.8,路遥,978-7-530-21200-4,"北京出版集团公司,北京十月文艺出版社",100,5,文学,《平凡的世界(套装共3册)》是一部现实主义小说，也是小说化的家族史。作家高度浓缩了中国西北农村的历史变迁过程，作品达到了思想性与艺术性的高度统一，特别是主人公面对困境艰苦奋斗的精神，对今天的大学生朋友仍有启迪。这是一部全景式地表现中国当代城乡社会生活的长篇小说。《平凡的 世界(套装共3册)》共三部。作者在近十年问广阔背景上，通过复杂的矛盾纠葛，刻画了社会各阶层众多普通人的形象。劳动与爱情，挫折与追求，痛苦与欢乐，日常生活与巨大社会冲突，纷繁地交织在一起，深刻地展示了普通人在大时代历史进程中所走过的艰难曲折的道路。,0
16,围城,bookimages/16.jpg,39,39,钱钟书,978-7-020-09000-6,人民文学出版社,100,5,文学,《围城》是一幅栩栩如生的世井百态图，人生的酸甜苦辣千般滋味均在其中得到了淋漓尽致的体现。钱钟书先生将自己的语言天才并入极其渊博的知识，再添加上一些讽刺主义的幽默调料，以一书而定江山。《围城》显示给我们一个真正的聪明人是怎样看人生，又怎样用所有作家都必得使用的文字来表述自己的“观”和“感”的。,0
17,牧羊少年奇幻之旅,bookimages/17.jpg,25,25,[巴西]保罗·柯艾略,978-7-544-24419-0,南海出版公司,100,5,文学,牧羊少年圣地亚哥接连两次做了同一个梦，梦见埃及金字塔附近藏有一批宝藏。少年卖掉羊群，历尽千辛万苦一路向南，跨海来到非洲，穿越“死亡之海”撒哈拉大沙漠……期间奇遇不断，在一位炼金术士的指引下，他终于到达金字塔前，悟出了宝藏的真正所在……,0
18,一只特立独行的猪,bookimages/18.jpg,18.8,18.8,王小波,978-7-531-71919-9,北方文艺出版社,100,5,文学,这本书里除了文化杂文，还有给其他书写的序言与跋语。这些序言与跋语也表明了我的一些态度。除此之外，还有一些轻松的随笔。不管什么书，我都不希望它太严肃，这一本也不例外。,0
19,半生缘,bookimages/19.jpg,28,28,张爱玲,978-7-530-20869-4,北京十月文艺出版社,100,5,文学,他和曼桢认识，已经是多年前的事了。算起来倒已经有十四年了——真吓人一跳！马上使他连带地觉得自己已老了许多。日子过得真快，尤其对于中年以后的人，十年八年都好像是指顾间的事。可是对于年轻人，三年五载就可以是一生一世。他和曼桢从认识到分手，不过几年的工夫，这几年里面却经过这么许多事情，仿佛把生老病死一切的哀乐都经历到了。,0
20,了不起的盖茨比,bookimages/20.jpg,12,12,菲茨杰拉德,978-7-020-04608-9,人民文学出版社,100,5,文学,盖茨比为了久久地抱着的一个梦而付出了很高的代价。他死后，尼克发觉是汤姆暗中挑拨威尔逊去杀死盖茨比。他感到东部鬼影幢幢，世态炎凉，便决定回中西部老家去。这是一个简单的故事，却有着极悲凉的人生况味。,0
21,活着,bookimages/21.jpg,20,20,余华,978-7-506-36543-7,作家出版社,100,4,生活,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵前去求药，却在途中被国民党抓去当壮丁。经过几番波折回到家里，才知道母亲早已去世，妻子家珍含辛茹苦地养大两个儿女。此后更加悲惨的命运一次又一次降临到福贵身上，他的妻子、儿女和孙子相继死去，最后只剩福贵和一头老牛相依为命，但老人依旧活着，仿佛比往日更加洒脱与坚强。,0
22,撒哈拉的故事,bookimages/22.jpg,160,160,三毛,978-9-573-30554-5,皇冠出版社,100,4,生活,三毛作品中最膾炙人口的《撒哈拉的故事》﹐,0
23,我们仨,bookimages/23.jpg,18.8,18.8,杨绛,978-7-108-01880-9,生活·读书·新知三联书店,100,4,生活,《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨绛在92岁高龄的时候用心记述了他们这个特殊家庭63年的风风雨雨、点点滴滴，结成回忆录《我们仨》。,0
24,平凡的世界（全三部）,bookimages/24.jpg,64,64,路遥,978-7-020-04929-5,人民文学出版社,100,4,生活,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广阔背景下，通过复杂的矛盾纠葛，刻划社会各阶层众多普通人的形象。劳动与爱情，挫折与追求，痛苦与欢乐，日常生活与巨大社会冲突，纷繁地交织在一起，深刻地展示了普通人在大时代历史进程中所走过的艰难曲折的道路。,0
25,人间值得,bookimages/25.jpg,49.9,49.9,[日]中村恒子,978-7-547-73431-5,北京日报出版社,100,4,生活,NULL,0
26,人生的智慧,bookimages/26.jpg,28,28,[德]阿图尔·叔本华,978-7-208-08117-8,上海人民出版社,100,4,生活,他于1850年写了《附录和补遗》一书，《人生的智慧》是该书中的一部分。在书中，他以优雅的文体，格言式的笔触阐述了自己对人生的看法。《人生的智慧》使沉寂多年的叔本华在晚年一举成名。我社出版的这本全译本是我国第一个根据德文版译出的中文本。这本书讨论的事情与我们的世俗生活至为接近，诸如健康、财富、名声、荣誉、养生和待人接物所应遵守的原则等。正如叔本华所说的，在这本书里他尽量以世俗、实用的角度考虑问题。因此，这本书尤其适合大众阅读。虽然叔氏尽量放弃了居高俯临的审视角度，但关于错综复杂并因此众说纷纭的世俗人情的话题，经过这位思想大师一贯深刻而因此透彻的讨论之后，变得清晰简明，话题也几已穷尽矣。,0
27,山茶文具店,bookimages/27.jpg,49.8,49.8,[日]小川糸,978-7-540-48533-7,湖南文艺出版社,100,4,生活,★日本全国700多家书店店员投票选出的最想卖的书！ 2016、2017连续两年获日本“书店大奖”重推！,0
28,如父如子,bookimages/28.jpg,49.8,49.8,[日]是枝裕和,978-7-540-48465-1,湖南文艺出版社,100,4,生活,当意识到孩 子也在注视着自 己时，那一瞬间，便懂得了什么是如父如子。,0
29,从你的全世界路过,bookimages/29.jpg,36,36,张嘉佳,978-7-540-45802-7,湖南文艺出版社,100,4,生活,《从你的全世界路过》是微博上最会写故事的人张嘉佳献给你的心动故事。,0
30,陪安东尼度过漫长岁月,bookimages/30.jpg,18,18,安东尼,978-7-535-43674-0,长江文艺出版社,100,4,生活,《陪安东尼度过漫长岁月》收集了作者安东尼在《最小说》上刊登过的部分散文，以及50%以上的最新作品。安东尼以一个普通男生的口吻，讲述了从20到23、从大学到工作、从国内到国外的真诚记载。其中既有生活的零散片段、自言自语，也有对生活的感悟。以时间为载体，散文为格式，将日记、随笔，甚至是墙上的便条联系到一起。带领每位读者陪安东尼度过遥远的旅行、孤独的时刻，以及漫长的岁月。,0
31,平如美棠,bookimages/31.jpg,39.8,39.8,饶平如,978-7-549-53564-4,广西师范大学出版社,100,4,生活,NULL,0
32,闪闪发光的人生,bookimages/32.jpg,48,48,[日]小川糸,978-7-540-48768-3,湖南文艺出版社,100,4,生活,★2018年日本书店大奖重磅推荐！,0
33,一个人的好天气,bookimages/33.jpg,20,20,[日]青山七惠,978-7-532-75298-0,上海译文出版社,100,4,生活,《一个人的好天气》内容简介：就这样，我不断地更换认识的人，也不断地使自己进入不认识的人们之中去。我既不悲观，也不乐观，只是每天早上睁开眼睛，迎接新的一天，一个人努力过下去。,0
34,孩子你慢慢来,bookimages/34.jpg,28,28,龙应台,978-7-108-03363-5,生活·读书·新知三联书店,100,4,生活,NULL,0
35,东京一年,bookimages/35.jpg,68,68,蒋方舟,978-7-508-67761-3,中信出版社,100,4,生活,NULL,0
36,生活是很好玩的,bookimages/36.jpg,45,45,汪曾祺,978-7-569-91507-5,北京时代华文书局,100,4,生活,好玩，是一种生活的体验，是一种发现和欣喜，它源于对生活无比的爱。,0
37,雅舍谈吃,bookimages/37.jpg,17,17,梁实秋,978-7-807-13057-4,山东画报出版社,100,4,生活,梁实秋先生是公认的华语世界中的一代文化宗师之一。他的许多文学作品都流播海内外，被人们赞为经典。其中“雅舍小品”更是他的代表作，先后印行了三百多版。《雅舍谈吃》是梁实秋先生一生在饮食文化方面才华的集中展示，如果您也喜欢吃，就和这位美食家一起去大饱口福吧！,0
38,今天也要用心过生活,bookimages/38.jpg,32,32,[日]松浦弥太郎,978-7-556-10534-2,浦睿文化·湖南人民出版社,100,4,生活,《今天也要用心过生活》是松浦弥太郎成名作“生活中的巧思与发现笔记”三部曲中的第一本，也是他最广为人知的作品之一，囊括了松浦对“如何与自己、与他人、与世界相处”的观察，对“如何拥有让心灵丰富的生活”的思考。,0
39,亲爱的安德烈,bookimages/39.jpg,29.8,29.8,龙应台,978-7-549-53064-9,广西师范大学出版社,100,4,生活,NULL,0
40,生活，是很好玩的,bookimages/40.jpg,52,52,汪曾祺,978-7-210-08800-4,江西人民出版社,100,4,生活,NULL,0
41,富爸爸，穷爸爸,bookimages/41.jpg,18.8,18.8,（美）罗伯特・T・清崎,978-7-506-24674-3,世界图书出版公司,100,1,经济,《富爸爸，穷爸爸》是一个真实的故事，作者罗伯特・清崎的亲生父亲和朋友的父亲对金钱的看法截然不同，这使他对认识金钱产生了兴趣，最终他接受了朋友的父亲的建议，也就是书中所说的。“富爸爸”的观念，即不要做金钱的奴隶，要让金钱为我们工作，并由此成为一名极富传奇色彩的成功的投资家。,0
42,小狗钱钱,bookimages/42.jpg,20,20,[德]博多·舍费尔,978-7-544-24388-9,南海出版公司,100,1,经济,《小狗钱钱》主要内容：吉娅是一个普通的12岁女孩，一次偶然的机会，她救助了一只受伤的小狗，并给它取名叫“钱钱”。没想到，钱钱居然是一位深藏不露的理财高手，它彻底改变了吉娅一家人的财富命运……“欧洲第一理财大师”博多·舍费尔用生动的理财童话，教会你如何从小学会支配金钱，而不是受金钱的支配；如何像富人那样思考，正确地认识和使用金钱；如何进行理财投资，找到积累资产的方法，早日实现财务自由！ ,0
43,薛兆丰经济学讲义,bookimages/43.jpg,68,68,薛兆丰,978-7-508-68958-6,中信出版社,100,1,经济,NULL,0
44,贫穷的本质,bookimages/44.jpg,58,58,阿比吉特•班纳吉(AbhijitV.Banerjee),978-7-508-63849-2,中信出版社,100,1,经济,NULL,0
45,黑天鹅,bookimages/45.jpg,49,49,纳西姆•尼古拉斯•塔勒布(NassimNicholasTaleb),978-7-508-63030-4,中信出版社,100,1,经济,NULL,0
46,半小时漫画经济学2：金融危机篇,bookimages/46.jpg,52,52,陈磊·半小时漫画团队,978-7-544-38867-2,海南出版社,100,1,经济,在大多数读者的心目中，经济学都是专业、晦涩的代名词，但陈磊（笔名：二混子）领衔的半小时漫画团队，却通过手绘漫画和段子，一边用历史上著名的金融危机事件抖包袱，一边一目了然地展现经济发展规律：,0
47,货币战争,bookimages/47.jpg,38,38,宋鸿兵,978-7-508-60868-6,中信出版社,100,1,经济,NULL,0
48,投资最重要的事,bookimages/48.jpg,58,58,[美]霍华德·马克斯HowardMarks,978-7-508-63380-0,中信出版社,100,1,经济,NULL,0
49,两次全球大危机的比较研究,bookimages/49.jpg,65,65,刘鹤,978-7-513-62310-0,中国经济出版社,100,1,经济,《两次全球大危机的比较研究》内容简介：2010年起，中央财办启动“两次全球大危机的比较研究”课题，对本次国际金融危机和1929年大萧条的发生、演变和影响进行比较研究，期望以史为鉴，理解今天，展望未来。“两次全球大危机的比较研究”课题组邀请了人民银行、银监会、社科院、国务院发展研究中心、北京大学、国家开发银行等单位参与研究。参与单位分别从国际政治经济、货币政策、金融监管、微观机制等角度展开研究，完成了专题研究报告。中央财办进行了综合研究，完成了总报告《两次全球大危机的比较研究》。研究成果已经在为中央决策服务中发挥了重要作用。,0
50,经济解释,bookimages/50.jpg,119,119,张五常,978-7-508-65391-4,中信出版社,100,1,经济,NULL,0
51,中国经济2020,bookimages/51.jpg,58,58,王德培,978-7-505-74858-3,中国友谊出版公司,100,1,经济,中美贸易摩擦尚未停息，香港暴乱行为持续升级，第四次金融危机逐渐展开，信息文明进入高级阶段，数字货币走上历史舞台，产业领域面临大洗牌……“放眼世界，我们面对的是百年未有之大变局”。“抬头黑天鹅漫天遨游，低头灰犀牛满地撒野”，不确定的外部环境让人备感焦灼，对中国经济走势的认知也愈发迷茫。本书旨在对2020年的中国经济进行深入解析和预测，探讨究竟是谁开启了破碎化的序幕，指出中美贸易冲突既是终极也是过程，提出中国“三个世界”观点，带领读者穿越重重迷雾，寻找中国经济新亮点。,0
52,周期,bookimages/52.jpg,88,88,[美]霍华德·马克斯,978-7-508-69914-1,中信出版集团,100,1,经济,NULL,0
53,变量,bookimages/53.jpg,59,59,何帆,978-7-508-69817-5,中信出版社,100,1,经济,NULL,0
54,变革中国,bookimages/54.jpg,58,58,[英]罗纳德·哈里·科斯,978-7-508-63510-1,中信出版社,100,1,经济,NULL,0
55,煤老板自述三十年,bookimages/55.jpg,29.8,29.8,老五,978-7-503-95017-9,文化艺术出版社,100,1,经济,《煤老板自述三十年:煤老板眼中的世道与人生》将带我们走入煤老板真实的的私人世界。煤老板老五用纸和笔记录着自己这个阶层的所思所想、大小事件、艰难险阻以及诸多段子。现在，他将这些私人档案公之于世，让我们有这次前所未有的机会了解煤老板波澜跌宕的人生。,0
56,价值投资实战手册,bookimages/56.jpg,59.8,59.8,唐朝,978-7-513-65460-9,中国经济出版社,100,1,经济,本书是老唐对20多年投资实践中形成的投资体系的回顾与总结，由三大章构成：正确面对股价波动、如何估算内在价值、企业分析案例。,0
57,怪诞行为学,bookimages/57.jpg,39,39,[美]丹·艾瑞里,978-7-508-61279-9,中信出版社,100,1,经济,生活中我们常有莫名其妙的举动。你真的会失控？一时冲动就是没道理可言？本书作者丹·艾瑞里告诉你：错！所有的现象，背后都有经济的力量！社会当实验室，真人做小白鼠，丹·艾瑞里的这本《怪诞行为学》一语道破，用轻松幽默的方式告诉我们这是为什么，又该如何改变。他比别的所有经济学家都更好地揭示、解释了我们不可思议的行为背后的原因。,0
58,财富的起源,bookimages/58.jpg,159.9,159.9,埃里克·拜因霍克,978-7-213-09419-4,浙江人民出版社,100,1,经济,NULL,0
59,经济学原理,bookimages/59.jpg,42,42,[美]N·格里高利·曼昆,978-7-301-15090-0,北京大学出版社,100,1,经济,《经济学原理(第5版):宏观经济学分册》是世界上最流行的经济学教材！其英文原版现已被哈佛大学、耶鲁大学、斯坦福大学等美国600余所大学用作经济学原理课程的教材迄今为止它已被翻译成20种语言在全世界销售100多万册！《经济学原理(第5版):宏观经济学分册》前四版的中译本自1999年出版以来也一直是国内选用最多、最受欢迎的经济学教材！在继续保持条理清晰、易于理解的写作风格基础上，曼昆教授在第5版中对全书36章都做了精心修订；同时也更新了大部分“新闻摘录”和部分“案例研究”；此外，为帮助教师进行课堂设计和课堂讲解，本版还极大地丰富了教辅资源。,0
60,1929年大崩盘,bookimages/60.jpg,25,25,[美]约翰·肯尼斯·加尔布雷思,978-7-810-98648-9,上海财经大学出版社,100,1,经济,由著名经济学家加尔布雷思撰著，是本简明扼要但又富有见地的历史著作，初版以来一直在重印。该书部分章节中，还生动地描述了大萧条前的繁荣景象。本书内容雍容而机智，并且幽默地鞭挞了美国某些金融领域的智者和政策所犯的错误。,0
61,时间的秩序,bookimages/61.jpg,56,56,[意]卡洛·罗韦利,978-7-571-00163-6,湖南科学技术出版社,100,3,科技,NULL,0
62,坏血,bookimages/62.jpg,49.8,49.8,[美]约翰·卡雷鲁（JohnCarreyrou）,978-7-559-62941-8,雅众文化/北京联合出版公司,100,3,科技,NULL,0
63,浪潮之巅,bookimages/63.jpg,55,55,吴军,978-7-121-13951-2,电子工业出版社,100,3,科技,近一百多年来，总有一些公司很幸运地、有意识或无意识地站在技术革命的浪尖之上。在这十几年间，它们代表着科技的浪潮，直到下一波浪潮的来临。,0
64,硅谷钢铁侠,bookimages/64.jpg,68,68,[美]阿什利·万斯,978-7-508-66045-5,中信出版集团,100,3,科技,NULL,0
65,暗网,bookimages/65.jpg,59,59,杰米·巴特利特,978-7-569-92330-8,北京时代华文书局,100,3,科技,NULL,0
66,创新者,bookimages/66.jpg,88,88,[美]沃尔特·艾萨克森,978-7-508-67164-2,中信出版社,100,3,科技,NULL,0
67,信息简史,bookimages/67.jpg,69,69,[美]詹姆斯·格雷克,978-7-115-33180-9,人民邮电出版社,100,3,科技,NULL,0
68,技术的本质,bookimages/68.jpg,62.9,62.9,布莱恩•阿瑟（BrianArthur）,978-7-213-05998-8,浙江人民出版社,100,3,科技,NULL,0
69,硅谷之谜,bookimages/69.jpg,59,59,吴军,978-7-115-41092-4,人民邮电出版社,100,3,科技,NULL,0
70,失控,bookimages/70.jpg,89,89,[美]凯文·凯利,978-7-121-27229-5,译言·东西文库／电子工业出版社,100,3,科技,NULL,0
71,Elon Musk,bookimages/71.jpg,28.99,28.99,AshleeVance,978-0-062-30123-9,Ecco,100,3,科技,NULL,0
72,科技之巅3,bookimages/72.jpg,99,99,麻省理工科技评论,978-7-115-51391-5,人民邮电出版社,100,3,科技,NULL,0
73,银行4.0,bookimages/73.jpg,128,128,[澳]布莱特·金,978-7-545-46561-7,广东经济出版社 · 伴客文化,100,3,科技,,0
74,世界上最强大的思想,bookimages/74.jpg,58,58,[美]威廉·罗森,978-7-508-66161-2,中信出版社,100,3,科技,NULL,0
75,迷人的材料[精装珍藏版],bookimages/75.jpg,88,88,马克·米奥多尼克,978-7-559-60226-8,北京联合出版有限公司,100,3,科技,从茶杯、喷气发动机到家用电器、内裤，我们的生活充满了材料。但你想过没有，为什么玻璃是透明的？是什么让橡皮筋有弹性？为什么曲别针会弯曲？为什么不锈钢不生锈？为什么某一种材料做成的东西会长那样？,0
76,天工开物译注,bookimages/76.jpg,36,36,宋应星,978-7-532-54768-5,上海古籍出版社,100,3,科技,NULL,0
77,Super Pumped,bookimages/77.jpg,21.49,21.49,MikeIsaac,978-0-393-65224-6,W. W. Norton &amp; Company; 1 edition,100,3,科技,NULL,0
78,机器崛起,bookimages/78.jpg,75,75,托马斯·瑞德,978-7-111-56067-8,机械工业出版社,100,3,科技,NULL,0
79,硅谷百年史,bookimages/79.jpg,99,99,[美]阿伦·拉奥(ArunRao),978-7-115-34531-8,人民邮电出版社,100,3,科技,NULL,0
80,5G+：5G如何改变社会,bookimages/80.jpg,69,69,李正茂,978-7-521-70816-5,中信出版社,100,3,科技,NULL,0
81,呼吸,bookimages/81.jpg,42,42,[美]特德·姜,978-7-544-77931-9,译林出版社,100,2,科幻,NULL,0
82,三体,bookimages/82.jpg,23,23,刘慈欣,978-7-536-69293-0,重庆出版社,100,2,科幻,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰……,0
83,三体Ⅱ,bookimages/83.jpg,32,32,刘慈欣,978-7-536-69396-8,重庆出版社,100,2,科幻,三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。,0
84,三体Ⅲ,bookimages/84.jpg,38,38,刘慈欣,978-7-229-03093-3,重庆出版社,100,2,科幻,与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生存竞争的秘密，其实还远没有竞争的资格。,0
85,仿生人会梦见电子羊吗？,bookimages/85.jpg,28,28,[美]菲利普·迪克,978-7-544-73876-7,译林出版社,100,2,科幻,核战后，放射尘让地球上的动物濒临灭绝，地球已不再适合人类居住。为了鼓励残存的人口移民，政府承诺，只要 移民到外 星球，就可以为每个人自动配备一个仿生人帮助其生活。仿生人不满足于被人类奴役的现状，想方设法逃回地球。,0
86,小行星掉在下午,bookimages/86.jpg,54,54,沈大成,978-7-559-82314-4,理想国 | 广西师范大学出版社,100,2,科幻,闪烁着霓虹灯的疫区，墨鱼人藏身的超大型地铁站，逐步变异的公司职员，新星球上建设社会的伟大历程……本书是沈大成新近创作的短篇小说精选，作者以其独有的黑色幽默，塑造了一群仿佛生活在地球的双生星上的人类，并将他们置于不确定的未来即将落下的时刻。,0
87,北京折叠,bookimages/87.jpg,NULL,NULL,郝景芳,978-7-539-09276-8,NULL,100,2,科幻,雨果奖获奖作品,0
88,来自新世界 （上下）,bookimages/88.jpg,88,88,[日]贵志祐介,978-7-532-76386-3,上海译文出版社,100,2,科幻,“离开小町回头去看，有一件事我看得清清楚楚——我们的小町，很扭曲。,0
89,全能侦探社,bookimages/89.jpg,49,49,[英]道格拉斯·亚当斯,978-7-540-48850-5,湖南文艺出版社,100,2,科幻,NULL,0
90,黑暗的左手,bookimages/90.jpg,45,45,[美]厄休拉·勒古恩,978-7-550-29122-5,北京联合出版公司,100,2,科幻,NULL,0
91,间客,bookimages/91.jpg,NULL,NULL,猫腻,978-8-542-61434-3,起点出版社,100,2,科幻,NULL,0
92,真名实姓,bookimages/92.jpg,49.8,49.8,[美]弗诺·文奇,978-7-559-62823-7,未读·文艺家 北京联合出版公司,100,2,科幻,NULL,0
93,遥远的地球之歌,bookimages/93.jpg,52,52,[英]阿瑟·克拉克,978-7-559-42004-6,江苏凤凰文艺出版社,100,2,科幻,NULL,0
94,2010：太空漫游,bookimages/94.jpg,72,72,[英]阿瑟·克拉克,978-7-532-17070-8,上海文 艺出版社,100,2,科幻,NULL,0
95,环形物语,bookimages/95.jpg,198,198,[瑞典]西蒙·斯塔伦海格著绘,978-7-533-95755-1,浙江文艺出版社,100,2,科幻,NULL,0
96,宇宙超度指南,bookimages/96.jpg,36,36,李诞,978-7-541-14740-1,四川文艺出版社,100,2,科幻,在这个世界里，人类以光年为单位穿梭宇宙，有些人活在自己像城市一样的飞船里，也有人活在各种奇怪的行星上——和当地的外星人一起。,0
97,球状闪电,bookimages/97.jpg,25,25,刘慈欣,978-7-536-48427-6,四川科学技术出版社,100,2,科幻,某个离奇的雨夜，一个球状闪电闯进了少年的视野，并在一瞬间将少年的父母化为灰烬。少年毕其一生去解开那个将他变成孤儿的自然之谜。但未曾想，多年后，他的研究被纳入“新概念武器”开发计划，他所追寻的球状闪电变成了下一场战争中决定祖国生存或是灭亡的终武器。及锋而试，大西北戈壁滩上升起冰冷的“蓝太阳”，世界变得陌生而怪异。一个完全未知的未来，在宇宙观测者的注视下，降临在人类面前……,0
98,十三层空间,bookimages/98.jpg,20,20,[美]丹尼尔·加卢耶,978-7-536-48567-9,四川科学技术出版社,100,2,科幻,NULL,0
99,遗落的南境1：湮灭,bookimages/99.jpg,28,28,[美]杰夫·范德米尔,978-7-545-51616-6,天地出版社,100,2,科幻,《遗落的南境》第一部《湮灭》讲述四位女性被派遣前往边界外勘察，这是一片荒芜了多年、被称为X区域的神秘地带。 她们已经是政府派遣出的第十二支勘探队。以往勘探队均以失败告终。在探险的过程中，女主角发现自己一直在被欺骗和误导，身处危险与谎言之中。,0
100,洪水来客,bookimages/100.jpg,198,198,[瑞典]西蒙·斯塔伦海格著绘,978-7-533-95754-4,浙江文艺出版社,100,2,科幻,NULL,0
